"ResourceID","ProjectName","Project_ID","Project_ID Type","Status","Status Date","Status Description","Sponsor","Sponsorship Description","DateDue","Additional Info","WKT","Location","ProjectDescription"
"242f54c2-3c98-4a69-921d-345bfc74dc83","Pier 22.5 Firehouse",84,"Project ID","Inactive","2017-12-06","Imported from legacy system","City Agency","SFFD, DPW","2018-12-28","None","POINT( -122.38834711832027  37.790220434390818 )","Pier 22.5","Expansion of existing Fireboat station to address building code requirements at the existing station house and berthing needs."
"bcee96b5-ff81-4ef5-af10-3123e1a37e2d","Pier 94 Backlands Project",85,"Project ID","Active","2017-12-06","Imported from legacy system","Port",", ","","None","POINT( -122.38141749386202  37.744858010174482 )","Backlands","Stormwater infratstructure improvements"
"e451a435-529c-4c0b-b8a0-4b9dc0a5051c","Jefferson St. Water Meter Upgrades",86,"Project ID","Active","2017-12-06","Imported from legacy system","Other",", ","","None","POINT( -122.41671395703256  37.808723997215807 )","On Jefferson by Taylor","Replace and add water meters to stop leak and separate tenants."
"77910106-958f-4a79-aaf4-cee618e20b7b","Pier 70 Crane Cove Park
Contract 1 - Surcharge and Grading",88,"Project ID","Active","2017-12-06","Imported from legacy system","Port",", ","2016-11-04","None","POINT( -122.38044230057895  37.761637110491591 )","north of 19th Street. Excluding Kneass","New 10 acre park, first phase approximately 5 acres, including extension of 19th Street & georgia Streets"
"d8964e13-8992-44ea-9718-4909bb63c4af","Pier 1.5 Kayak Float",90,"Project ID","Active","2017-12-06","Imported from legacy system","Other",", ","2016-06-30","None","POINT( -122.39527192026094  37.7973272829283 )",,"New kayak float as a part of an offset for the Brannan Street Wharf float"
"7620a5e7-eff6-452b-83c3-20701cd60ec6","South Beach Harbor Public Access Improvements",91,"Project ID","Inactive","2017-12-06","Imported from legacy system","Port",", ","2016-06-30","None","POINT( -122.38670903323083  37.781765975893457 )",,"BAADS and Human Powered Boating improvements to offest BCDC public access requirements"
"21963a65-d05d-489d-bd19-0736e3a2591c","Bayfront Park (P22)",92,"Project ID","Active","2017-12-06","Imported from legacy system","City Agency","OCII, ","2016-12-31","None",,"East of Terry Francois between Pier 54 and Agua Vista Park","Schematic Design for Mission Bay Bayfront Park"
"6cf55c1d-9a48-4cfd-9e38-506086978de1","Amador Street Beautification",93,"Project ID","Active","2017-12-06","Imported from legacy system","Port",", ","2016-12-31","None",,"Amador Street between Cargo Way and Darling Deleaware","Temporary landscaping to improve appearance of Amador and Cargo Way intersection"
"2967c236-bc67-47bb-b948-1ecafa90ed30","Copra Crane",94,"Project ID","Inactive","2017-12-06","Imported from legacy system","Port",", ","","None","POINT( -122.39222718311882  37.748085351652662 )","Islais Creek at the terminus of Indiana Street","Reconstruct and reinstall Copra Crane to serve as a Labor Landmark- no operational- Duplicated"
"883b496c-e909-416b-9006-c79e4a80da5c","Sargent Johnson- Public Art",95,"Project ID","Active","2017-12-06","Imported from legacy system","Port",", ","2016-10-28","None","POINT( -122.40107857922911  37.805344919347711 )","near entrance and northern most planter","Borrow from TIDA two Sargent Johnson Sculptures and install for  5- 10 years just south of entrance in Plaza"
"4bca2061-7853-41cd-8bae-1bdc40e92272","Pier 40 North Guest Dock and South Beach Harbor End Tie Repairs.",96,"Project ID","Active","2017-12-06","Imported from legacy system","Port",", ","2017-07-31","None","POINT( -122.38597725950193  37.780186546911239 )","South Beach Harbor/Pier 40","Utilizing aprox $724,400 to repair end ties A-G and North Guest dock floats at South Beach Harbor. Repairs include replacing metal rods, wooden facias, pile brackets, concrete floats…etc."
"55b72cbd-1153-4ff1-ad58-60a959aaf11d","Islais Creek Promenade Extension",97,"Project ID","Active","2017-12-06","Imported from legacy system","Port",", ","2016-12-30","None","POINT( -122.38895690674352  37.74768848946961 )","between Third and Indiana Streets","Provide connection between Third Street and Indiana Street along northern shoreline of Islais Creek funded by 2012 Oparks GO Bond"
